neighborhood,sqft,bedrooms,bathrooms,lot_size_sqft,year_built,stories,garage_spaces,has_basement,has_porch,renovated_last_10yrs,fireplace,condition_score,distance_to_downtown_km,crime_index,school_rating,walk_score,property_tax_annual,vacant_lot_nearby,sale_price
Lafayette Park,1086.0,3,2.0,7263.0,1927,1.5,0.0,0,1,0,1,5.8,9.1,47.0,5.7,46.3,1955.0,0,92938.0
Greenfield,1089.0,3,1.0,5476.0,1934,2.0,1.0,0,1,0,1,4.3,12.7,54.3,4.5,21.3,870.0,1,12000.0
Jefferson-Chalmers,1704.0,3,1.5,4258.0,1915,2.0,1.0,1,1,0,1,4.3,5.95,72.2,6.1,61.4,1213.0,1,53338.0
Bagley,920.0,3,2.5,2777.0,1968,1.0,1.0,1,1,1,1,8.1,5.49,44.3,5.6,39.0,1905.0,0,105249.0
Corktown,1245.0,3,2.5,3867.0,1930,2.0,2.0,1,1,1,0,,9.44,64.3,5.7,43.5,1526.0,0,209488.0
Grandmont-Rosedale,932.0,3,1.0,10099.0,1923,1.0,0.0,0,1,0,0,6.9,5.19,45.9,6.8,62.9,1491.0,0,50149.0
Palmer Woods,1074.0,3,1.5,4787.0,1964,2.0,0.0,1,1,0,0,4.7,5.04,49.8,7.3,62.0,2995.0,0,362583.0
Boston-Edison,1093.0,4,2.0,1200.0,1958,2.0,0.0,1,1,0,0,7.4,9.06,56.7,6.9,53.8,1697.0,0,214515.0
Russell Woods,1601.0,3,1.5,5424.0,1933,1.0,2.0,1,0,0,0,5.1,17.4,78.5,3.1,49.0,1118.0,0,12000.0
Greenfield,1995.0,2,1.0,6789.0,1961,2.0,0.0,1,1,0,1,8.9,0.5,59.9,5.8,68.7,1539.0,0,138237.0
Corktown,1370.0,3,1.5,6133.0,1938,1.0,2.0,1,0,0,1,7.3,11.84,76.2,6.8,35.8,2540.0,0,252842.0
Palmer Woods,1551.0,2,1.0,5642.0,1913,2.0,0.0,0,1,0,0,5.5,6.5,46.7,6.1,73.8,960.0,0,396195.0
Warrendale,921.0,3,2.5,5031.0,1960,1.0,0.0,1,1,0,1,2.8,9.07,80.4,5.4,40.2,1489.0,0,12000.0
West Village,2205.0,2,1.0,4182.0,1952,1.5,1.0,1,1,0,0,6.8,5.94,48.2,6.3,43.0,1416.0,0,314496.0
West Village,2134.0,2,1.0,5035.0,1979,1.5,2.0,1,0,0,0,4.0,9.31,46.4,6.7,55.5,2910.0,0,229956.0
Russell Woods,1564.0,4,2.0,6709.0,1933,1.0,1.0,0,1,0,0,3.5,16.0,56.7,3.0,32.3,3166.0,0,12000.0
Sherwood Forest,1524.0,4,1.0,6378.0,1960,2.0,2.0,1,1,0,0,4.8,15.99,49.2,5.7,45.3,1809.0,0,147014.0
Morningside,1235.0,4,1.5,3696.0,1990,1.0,0.0,1,1,0,1,6.6,5.85,66.5,2.3,71.6,1584.0,0,32210.0
Jefferson-Chalmers,1777.0,3,1.5,4908.0,1916,1.0,2.0,0,1,0,0,4.8,10.3,60.2,3.1,59.6,1685.0,0,70692.0
Lafayette Park,1762.0,3,1.5,2995.0,1947,1.0,0.0,0,1,0,0,5.5,8.51,59.4,7.1,43.4,1957.0,0,154237.0
Boston-Edison,1123.0,3,1.0,3799.0,1928,2.0,2.0,1,0,0,0,8.2,4.56,43.6,5.5,70.4,1270.0,0,199659.0
Corktown,480.0,3,2.0,6547.0,1964,1.0,2.0,1,0,0,0,,10.33,33.3,,45.7,1993.0,0,221662.0
Boston-Edison,1455.0,3,2.5,5205.0,1951,2.0,1.0,1,0,0,0,7.2,5.08,40.9,7.2,56.9,1799.0,0,257904.0
Boston-Edison,1916.0,3,2.5,7960.0,1942,1.0,0.0,1,1,0,0,7.5,13.76,24.6,5.5,19.5,1611.0,0,294016.0
Brightmoor,2132.0,2,1.0,4700.0,1956,1.5,0.0,1,0,0,0,3.9,10.65,69.3,3.0,33.8,1756.0,0,12000.0
Cody Rouge,694.0,3,1.0,6682.0,1942,1.5,1.0,1,1,0,0,4.3,6.19,72.1,6.2,47.7,942.0,0,12000.0
Warrendale,1759.0,2,1.0,5843.0,1935,1.5,1.0,1,1,0,0,2.9,12.83,59.0,4.2,56.4,1119.0,0,12000.0
Boston-Edison,932.0,3,1.0,5837.0,1974,1.0,1.0,0,1,0,0,6.4,7.66,83.6,8.5,55.5,3259.0,0,226656.0
University District,930.0,2,2.0,8237.0,1917,1.0,0.0,0,0,0,0,,9.22,42.1,,47.0,1633.0,1,48441.0
Corktown,2212.0,3,2.0,6297.0,1909,2.0,0.0,1,1,0,1,9.8,17.31,53.8,6.3,42.8,2335.0,0,351220.0
Boston-Edison,1279.0,3,1.0,6168.0,1972,1.5,1.0,1,1,1,1,7.2,9.76,52.3,7.3,66.2,1716.0,0,280621.0
